Date,Station,count,Lat,Long
2021-06-01 00:00:00,Charleville Mall,2,53.35694847,-6.245350215
2021-06-01 00:00:00,Grove Road Totem,11,53.3296435,-6.2701778
2021-06-01 00:00:00,North Strand Rd N/B,7,53.35853,-6.24134
2021-06-01 00:00:00,North Strand Rd S/B,6,53.35846619,-6.241417032
2021-06-01 01:00:00,Charleville Mall,3,53.35694847,-6.245350215
2021-06-01 01:00:00,Grove Road Totem,3,53.3296435,-6.2701778
2021-06-01 01:00:00,North Strand Rd N/B,4,53.35853,-6.24134
2021-06-01 01:00:00,North Strand Rd S/B,0,53.35846619,-6.241417032
2021-06-01 02:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-01 02:00:00,Grove Road Totem,3,53.3296435,-6.2701778
2021-06-01 02:00:00,North Strand Rd N/B,0,53.35853,-6.24134
2021-06-01 02:00:00,North Strand Rd S/B,1,53.35846619,-6.241417032
2021-06-01 03:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-01 03:00:00,Grove Road Totem,8,53.3296435,-6.2701778
2021-06-01 03:00:00,North Strand Rd N/B,1,53.35853,-6.24134
2021-06-01 03:00:00,North Strand Rd S/B,0,53.35846619,-6.241417032
2021-06-01 04:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-01 04:00:00,Grove Road Totem,11,53.3296435,-6.2701778
2021-06-01 04:00:00,North Strand Rd N/B,2,53.35853,-6.24134
2021-06-01 04:00:00,North Strand Rd S/B,3,53.35846619,-6.241417032
2021-06-01 05:00:00,Charleville Mall,3,53.35694847,-6.245350215
2021-06-01 05:00:00,Grove Road Totem,33,53.3296435,-6.2701778
2021-06-01 05:00:00,North Strand Rd N/B,5,53.35853,-6.24134
2021-06-01 05:00:00,North Strand Rd S/B,18,53.35846619,-6.241417032
2021-06-01 06:00:00,Charleville Mall,12,53.35694847,-6.245350215
2021-06-01 06:00:00,Grove Road Totem,106,53.3296435,-6.2701778
2021-06-01 06:00:00,North Strand Rd N/B,18,53.35853,-6.24134
2021-06-01 06:00:00,North Strand Rd S/B,82,53.35846619,-6.241417032
2021-06-01 07:00:00,Charleville Mall,26,53.35694847,-6.245350215
2021-06-01 07:00:00,Grove Road Totem,256,53.3296435,-6.2701778
2021-06-01 07:00:00,North Strand Rd N/B,33,53.35853,-6.24134
2021-06-01 07:00:00,North Strand Rd S/B,106,53.35846619,-6.241417032
2021-06-01 08:00:00,Charleville Mall,34,53.35694847,-6.245350215
2021-06-01 08:00:00,Grove Road Totem,314,53.3296435,-6.2701778
2021-06-01 08:00:00,North Strand Rd N/B,44,53.35853,-6.24134
2021-06-01 08:00:00,North Strand Rd S/B,195,53.35846619,-6.241417032
2021-06-01 09:00:00,Charleville Mall,18,53.35694847,-6.245350215
2021-06-01 09:00:00,Grove Road Totem,189,53.3296435,-6.2701778
2021-06-01 09:00:00,North Strand Rd N/B,33,53.35853,-6.24134
2021-06-01 09:00:00,North Strand Rd S/B,111,53.35846619,-6.241417032
2021-06-01 10:00:00,Charleville Mall,6,53.35694847,-6.245350215
2021-06-01 10:00:00,Grove Road Totem,85,53.3296435,-6.2701778
2021-06-01 10:00:00,North Strand Rd N/B,29,53.35853,-6.24134
2021-06-01 10:00:00,North Strand Rd S/B,43,53.35846619,-6.241417032
2021-06-01 11:00:00,Charleville Mall,18,53.35694847,-6.245350215
2021-06-01 11:00:00,Grove Road Totem,104,53.3296435,-6.2701778
2021-06-01 11:00:00,North Strand Rd N/B,46,53.35853,-6.24134
2021-06-01 11:00:00,North Strand Rd S/B,56,53.35846619,-6.241417032
2021-06-01 12:00:00,Charleville Mall,9,53.35694847,-6.245350215
2021-06-01 12:00:00,Grove Road Totem,140,53.3296435,-6.2701778
2021-06-01 12:00:00,North Strand Rd N/B,56,53.35853,-6.24134
2021-06-01 12:00:00,North Strand Rd S/B,57,53.35846619,-6.241417032
2021-06-01 13:00:00,Charleville Mall,17,53.35694847,-6.245350215
2021-06-01 13:00:00,Grove Road Totem,137,53.3296435,-6.2701778
2021-06-01 13:00:00,North Strand Rd N/B,73,53.35853,-6.24134
2021-06-01 13:00:00,North Strand Rd S/B,46,53.35846619,-6.241417032
2021-06-01 14:00:00,Charleville Mall,19,53.35694847,-6.245350215
2021-06-01 14:00:00,Grove Road Totem,126,53.3296435,-6.2701778
2021-06-01 14:00:00,North Strand Rd N/B,64,53.35853,-6.24134
2021-06-01 14:00:00,North Strand Rd S/B,53,53.35846619,-6.241417032
2021-06-01 15:00:00,Charleville Mall,18,53.35694847,-6.245350215
2021-06-01 15:00:00,Grove Road Totem,172,53.3296435,-6.2701778
2021-06-01 15:00:00,North Strand Rd N/B,130,53.35853,-6.24134
2021-06-01 15:00:00,North Strand Rd S/B,55,53.35846619,-6.241417032
2021-06-01 16:00:00,Charleville Mall,22,53.35694847,-6.245350215
2021-06-01 16:00:00,Grove Road Totem,239,53.3296435,-6.2701778
2021-06-01 16:00:00,North Strand Rd N/B,159,53.35853,-6.24134
2021-06-01 16:00:00,North Strand Rd S/B,67,53.35846619,-6.241417032
2021-06-01 17:00:00,Charleville Mall,35,53.35694847,-6.245350215
2021-06-01 17:00:00,Grove Road Totem,362,53.3296435,-6.2701778
2021-06-01 17:00:00,North Strand Rd N/B,244,53.35853,-6.24134
2021-06-01 17:00:00,North Strand Rd S/B,83,53.35846619,-6.241417032
2021-06-01 18:00:00,Charleville Mall,45,53.35694847,-6.245350215
2021-06-01 18:00:00,Grove Road Totem,330,53.3296435,-6.2701778
2021-06-01 18:00:00,North Strand Rd N/B,202,53.35853,-6.24134
2021-06-01 18:00:00,North Strand Rd S/B,69,53.35846619,-6.241417032
2021-06-01 19:00:00,Charleville Mall,21,53.35694847,-6.245350215
2021-06-01 19:00:00,Grove Road Totem,225,53.3296435,-6.2701778
2021-06-01 19:00:00,North Strand Rd N/B,123,53.35853,-6.24134
2021-06-01 19:00:00,North Strand Rd S/B,77,53.35846619,-6.241417032
2021-06-01 20:00:00,Charleville Mall,16,53.35694847,-6.245350215
2021-06-01 20:00:00,Grove Road Totem,193,53.3296435,-6.2701778
2021-06-01 20:00:00,North Strand Rd N/B,89,53.35853,-6.24134
2021-06-01 20:00:00,North Strand Rd S/B,78,53.35846619,-6.241417032
2021-06-01 21:00:00,Charleville Mall,8,53.35694847,-6.245350215
2021-06-01 21:00:00,Grove Road Totem,133,53.3296435,-6.2701778
2021-06-01 21:00:00,North Strand Rd N/B,47,53.35853,-6.24134
2021-06-01 21:00:00,North Strand Rd S/B,68,53.35846619,-6.241417032
2021-06-01 22:00:00,Charleville Mall,8,53.35694847,-6.245350215
2021-06-01 22:00:00,Grove Road Totem,83,53.3296435,-6.2701778
2021-06-01 22:00:00,North Strand Rd N/B,55,53.35853,-6.24134
2021-06-01 22:00:00,North Strand Rd S/B,18,53.35846619,-6.241417032
2021-06-01 23:00:00,Charleville Mall,4,53.35694847,-6.245350215
2021-06-01 23:00:00,Grove Road Totem,41,53.3296435,-6.2701778
2021-06-01 23:00:00,North Strand Rd N/B,24,53.35853,-6.24134
2021-06-01 23:00:00,North Strand Rd S/B,12,53.35846619,-6.241417032
2021-06-02 00:00:00,Charleville Mall,4,53.35694847,-6.245350215
2021-06-02 00:00:00,Grove Road Totem,15,53.3296435,-6.2701778
2021-06-02 00:00:00,North Strand Rd N/B,11,53.35853,-6.24134
2021-06-02 00:00:00,North Strand Rd S/B,1,53.35846619,-6.241417032
2021-06-02 01:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-02 01:00:00,Grove Road Totem,4,53.3296435,-6.2701778
2021-06-02 01:00:00,North Strand Rd N/B,5,53.35853,-6.24134
2021-06-02 01:00:00,North Strand Rd S/B,4,53.35846619,-6.241417032
2021-06-02 02:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-02 02:00:00,Grove Road Totem,3,53.3296435,-6.2701778
2021-06-02 02:00:00,North Strand Rd N/B,0,53.35853,-6.24134
2021-06-02 02:00:00,North Strand Rd S/B,2,53.35846619,-6.241417032
2021-06-02 03:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-02 03:00:00,Grove Road Totem,6,53.3296435,-6.2701778
2021-06-02 03:00:00,North Strand Rd N/B,2,53.35853,-6.24134
2021-06-02 03:00:00,North Strand Rd S/B,0,53.35846619,-6.241417032
2021-06-02 04:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-02 04:00:00,Grove Road Totem,10,53.3296435,-6.2701778
2021-06-02 04:00:00,North Strand Rd N/B,4,53.35853,-6.24134
2021-06-02 04:00:00,North Strand Rd S/B,4,53.35846619,-6.241417032
2021-06-02 05:00:00,Charleville Mall,4,53.35694847,-6.245350215
2021-06-02 05:00:00,Grove Road Totem,33,53.3296435,-6.2701778
2021-06-02 05:00:00,North Strand Rd N/B,3,53.35853,-6.24134
2021-06-02 05:00:00,North Strand Rd S/B,18,53.35846619,-6.241417032
2021-06-02 06:00:00,Charleville Mall,12,53.35694847,-6.245350215
2021-06-02 06:00:00,Grove Road Totem,105,53.3296435,-6.2701778
2021-06-02 06:00:00,North Strand Rd N/B,14,53.35853,-6.24134
2021-06-02 06:00:00,North Strand Rd S/B,80,53.35846619,-6.241417032
2021-06-02 07:00:00,Charleville Mall,17,53.35694847,-6.245350215
2021-06-02 07:00:00,Grove Road Totem,232,53.3296435,-6.2701778
2021-06-02 07:00:00,North Strand Rd N/B,38,53.35853,-6.24134
2021-06-02 07:00:00,North Strand Rd S/B,124,53.35846619,-6.241417032
2021-06-02 08:00:00,Charleville Mall,36,53.35694847,-6.245350215
2021-06-02 08:00:00,Grove Road Totem,332,53.3296435,-6.2701778
2021-06-02 08:00:00,North Strand Rd N/B,47,53.35853,-6.24134
2021-06-02 08:00:00,North Strand Rd S/B,164,53.35846619,-6.241417032
2021-06-02 09:00:00,Charleville Mall,25,53.35694847,-6.245350215
2021-06-02 09:00:00,Grove Road Totem,177,53.3296435,-6.2701778
2021-06-02 09:00:00,North Strand Rd N/B,34,53.35853,-6.24134
2021-06-02 09:00:00,North Strand Rd S/B,103,53.35846619,-6.241417032
2021-06-02 10:00:00,Charleville Mall,16,53.35694847,-6.245350215
2021-06-02 10:00:00,Grove Road Totem,77,53.3296435,-6.2701778
2021-06-02 10:00:00,North Strand Rd N/B,27,53.35853,-6.24134
2021-06-02 10:00:00,North Strand Rd S/B,62,53.35846619,-6.241417032
2021-06-02 11:00:00,Charleville Mall,10,53.35694847,-6.245350215
2021-06-02 11:00:00,Grove Road Totem,93,53.3296435,-6.2701778
2021-06-02 11:00:00,North Strand Rd N/B,36,53.35853,-6.24134
2021-06-02 11:00:00,North Strand Rd S/B,49,53.35846619,-6.241417032
2021-06-02 12:00:00,Charleville Mall,8,53.35694847,-6.245350215
2021-06-02 12:00:00,Grove Road Totem,127,53.3296435,-6.2701778
2021-06-02 12:00:00,North Strand Rd N/B,45,53.35853,-6.24134
2021-06-02 12:00:00,North Strand Rd S/B,49,53.35846619,-6.241417032
